Suggested_item,Category,Region,Meal_occasion,Standardization_hint
Aloo tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Arbi tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Baingan tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beans tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Beetroot tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Bhindi tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Brinjal tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cabbage tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Capsicum tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Carrot tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cauliflower tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Chana saag,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Cluster beans (gawar) tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Corn tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Drumstick (moringa) tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
